t_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_bankssts_thickavg,-0.135 (0.285),6.44e-01,9.02e-01,No,-0.196 (0.143),1.99e-01,3.52e-01,No,14,-0.078 (0.046),9.02e-02,4.84e-01,No,0.019 (0.02),3.22e-01,7.24e-01,No,486,-0.028 (0.056),6.17e-01,8.84e-01,No,0.012 (0.018),5.11e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_caudalanteriorcingulate_thickavg,0.234 (0.283),4.26e-01,8.74e-01,No,0.19 (0.142),2.08e-01,3.53e-01,No,14,0.001 (0.046),9.77e-01,9.77e-01,No,-0.011 (0.02),5.74e-01,7.81e-01,No,486,0.023 (0.056),6.80e-01,8.90e-01,No,-0.018 (0.018),3.11e-01,6.61e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_caudalmiddlefrontal_thickavg,-0.082 (0.304),7.92e-01,9.34e-01,No,-0.079 (0.153),6.18e-01,7.37e-01,No,14,0.08 (0.046),7.84e-02,4.84e-01,No,-0.054 (0.019),5.34e-03,9.08e-02,No,486,-0.017 (0.056),7.67e-01,9.15e-01,No,-0.015 (0.018),4.18e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_cuneus_thickavg,0.013 (0.306),9.67e-01,9.81e-01,No,-0.061 (0.154),6.99e-01,7.70e-01,No,14,0.014 (0.046),7.68e-01,9.32e-01,No,0.034 (0.02),8.58e-02,4.49e-01,No,486,0.063 (0.056),2.63e-01,8.84e-01,No,0.011 (0.018),5.55e-01,7.27e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_entorhil_thickavg,-0.174 (0.272),5.36e-01,8.74e-01,No,0.201 (0.137),1.70e-01,3.20e-01,No,14,-0.047 (0.046),3.04e-01,6.08e-01,No,0.002 (0.02),9.11e-01,9.84e-01,No,486,0.065 (0.056),2.41e-01,8.84e-01,No,0.051 (0.018),4.23e-03,9.04e-02,No,323
cortical_thickness,CTQ_Abuse,female,L_fusiform_thickavg,0.179 (0.294),5.55e-01,8.74e-01,No,0.144 (0.148),3.49e-01,5.05e-01,No,14,-0.053 (0.046),2.49e-01,5.75e-01,No,0.004 (0.02),8.23e-01,9.65e-01,No,486,-0.072 (0.055),1.93e-01,8.84e-01,No,0.062 (0.018) *,4.94e-04,2.50e-02,Yes,323
cortical_thickness,CTQ_Abuse,female,L_inferiorparietal_thickavg,-0.193 (0.303),5.37e-01,8.74e-01,No,-0.024 (0.152),8.78e-01,9.18e-01,No,14,-0.128 (0.046),5.56e-03,1.89e-01,No,0.003 (0.019),8.87e-01,9.77e-01,No,486,-0.095 (0.056),9.09e-02,8.84e-01,No,-0.013 (0.018),4.64e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_inferiortemporal_thickavg,0.473 (0.271),1.09e-01,8.47e-01,No,0.105 (0.136),4.59e-01,6.09e-01,No,14,-0.127 (0.046),5.55e-03,1.89e-01,No,0.009 (0.019),6.38e-01,8.33e-01,No,486,-0.085 (0.056),1.29e-01,8.84e-01,No,0.039 (0.018),2.81e-02,2.20e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_isthmuscingulate_thickavg,-0.057 (0.308),8.56e-01,9.34e-01,No,-0.027 (0.155),8.64e-01,9.18e-01,No,14,-0.018 (0.046),6.91e-01,9.15e-01,No,-0.02 (0.02),3.14e-01,7.24e-01,No,486,0.021 (0.056),7.05e-01,8.90e-01,No,0.014 (0.018),4.49e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_lateraloccipital_thickavg,0.202 (0.239),4.17e-01,8.74e-01,No,0.322 (0.12),2.16e-02,1.45e-01,No,14,-0.021 (0.046),6.55e-01,9.15e-01,No,-0.018 (0.02),3.53e-01,7.50e-01,No,486,-0.038 (0.055),4.91e-01,8.84e-01,No,-0.061 (0.018) *,7.37e-04,2.50e-02,Yes,323
cortical_thickness,CTQ_Abuse,female,L_lateralorbitofrontal_thickavg,-0.307 (0.291),3.14e-01,8.74e-01,No,-0.102 (0.146),5.02e-01,6.44e-01,No,14,-0.015 (0.046),7.51e-01,9.29e-01,No,-0.001 (0.02),9.41e-01,9.85e-01,No,486,-0.004 (0.056),9.45e-01,9.69e-01,No,0.007 (0.018),6.95e-01,8.35e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_lingual_thickavg,0.497 (0.269),9.19e-02,8.47e-01,No,0.051 (0.135),7.16e-01,7.73e-01,No,14,0.112 (0.046),1.40e-02,2.84e-01,No,0.056 (0.019),4.01e-03,9.08e-02,No,486,0.054 (0.056),3.42e-01,8.84e-01,No,0.016 (0.018),3.88e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_medialorbitofrontal_thickavg,0.154 (0.254),5.56e-01,8.74e-01,No,-0.259 (0.128),6.76e-02,2.09e-01,No,14,0.037 (0.046),4.20e-01,7.91e-01,No,0.002 (0.02),9.38e-01,9.85e-01,No,486,0.046 (0.056),4.09e-01,8.84e-01,No,0.024 (0.018),1.76e-01,6.06e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_middletemporal_thickavg,0.224 (0.301),4.73e-01,8.74e-01,No,0.01 (0.151),9.50e-01,9.56e-01,No,14,-0.085 (0.046),6.48e-02,4.84e-01,No,0.012 (0.02),5.42e-01,7.81e-01,No,486,0.028 (0.056),6.22e-01,8.84e-01,No,0.038 (0.018),3.68e-02,2.38e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_parahippocampal_thickavg,-0.419 (0.249),1.20e-01,8.47e-01,No,0.17 (0.125),2.02e-01,3.52e-01,No,14,0.022 (0.046),6.31e-01,9.15e-01,No,0.015 (0.02),4.31e-01,7.50e-01,No,486,-0.122 (0.056),2.93e-02,8.84e-01,No,0.022 (0.018),2.23e-01,6.29e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_paracentral_thickavg,-0.275 (0.242),2.80e-01,8.74e-01,No,-0.309 (0.122),2.78e-02,1.45e-01,No,14,0.02 (0.046),6.59e-01,9.15e-01,No,0.0 (0.02),9.97e-01,9.97e-01,No,486,-0.049 (0.056),3.80e-01,8.84e-01,No,-0.011 (0.018),5.27e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_parsopercularis_thickavg,0.173 (0.243),4.91e-01,8.74e-01,No,-0.278 (0.122),4.39e-02,1.76e-01,No,14,-0.077 (0.046),9.42e-02,4.84e-01,No,0.003 (0.02),8.70e-01,9.77e-01,No,486,-0.095 (0.056),9.06e-02,8.84e-01,No,0.025 (0.018),1.67e-01,6.06e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_parsorbitalis_thickavg,0.142 (0.305),6.50e-01,9.02e-01,No,0.012 (0.153),9.37e-01,9.56e-01,No,14,0.011 (0.046),8.10e-01,9.56e-01,No,-0.012 (0.02),5.57e-01,7.81e-01,No,486,-0.003 (0.056),9.55e-01,9.69e-01,No,-0.014 (0.018),4.50e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_parstriangularis_thickavg,-0.233 (0.215),3.00e-01,8.74e-01,No,-0.367 (0.108),5.93e-03,6.62e-02,No,14,0.025 (0.046),5.91e-01,9.15e-01,No,-0.008 (0.02),6.74e-01,8.49e-01,No,486,0.03 (0.056),6.01e-01,8.84e-01,No,-0.002 (0.018),9.06e-01,9.48e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_pericalcarine_thickavg,-0.364 (0.287),2.30e-01,8.70e-01,No,-0.083 (0.144),5.78e-01,7.09e-01,No,14,0.07 (0.046),1.26e-01,5.02e-01,No,0.056 (0.019),3.99e-03,9.08e-02,No,486,0.06 (0.056),2.86e-01,8.84e-01,No,0.018 (0.018),3.22e-01,6.61e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_postcentral_thickavg,-0.385 (0.255),1.59e-01,8.47e-01,No,-0.251 (0.128),7.61e-02,2.13e-01,No,14,0.017 (0.046),7.13e-01,9.15e-01,No,0.039 (0.02),4.67e-02,3.73e-01,No,486,0.072 (0.056),1.96e-01,8.84e-01,No,-0.049 (0.018),6.09e-03,9.04e-02,No,323
cortical_thickness,CTQ_Abuse,female,L_posteriorcingulate_thickavg,-0.192 (0.297),5.32e-01,8.74e-01,No,-0.113 (0.15),4.65e-01,6.09e-01,No,14,0.008 (0.046),8.67e-01,9.56e-01,No,-0.004 (0.02),8.45e-01,9.74e-01,No,486,-0.053 (0.056),3.44e-01,8.84e-01,No,0.035 (0.018),5.47e-02,2.90e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_precentral_thickavg,-0.085 (0.268),7.56e-01,9.34e-01,No,-0.253 (0.135),8.77e-02,2.17e-01,No,14,-0.018 (0.046),7.03e-01,9.15e-01,No,-0.007 (0.02),7.14e-01,8.52e-01,No,486,-0.055 (0.056),3.31e-01,8.84e-01,No,-0.018 (0.018),3.15e-01,6.61e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_precuneus_thickavg,-0.118 (0.265),6.65e-01,9.05e-01,No,-0.264 (0.133),7.24e-02,2.13e-01,No,14,0.027 (0.046),5.64e-01,9.15e-01,No,-0.008 (0.02),6.88e-01,8.51e-01,No,486,0.034 (0.056),5.51e-01,8.84e-01,No,0.024 (0.018),1.79e-01,6.06e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_rostralanteriorcingulate_thickavg,0.329 (0.238),1.95e-01,8.47e-01,No,0.31 (0.12),2.53e-02,1.45e-01,No,14,0.007 (0.046),8.73e-01,9.56e-01,No,-0.014 (0.02),4.81e-01,7.50e-01,No,486,0.012 (0.056),8.28e-01,9.23e-01,No,0.013 (0.018),4.89e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_rostralmiddlefrontal_thickavg,-0.441 (0.252),1.08e-01,8.47e-01,No,-0.238 (0.127),8.64e-02,2.17e-01,No,14,0.036 (0.046),4.30e-01,7.91e-01,No,-0.023 (0.02),2.39e-01,7.24e-01,No,486,0.003 (0.056),9.53e-01,9.69e-01,No,-0.015 (0.018),3.97e-01,7.19e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_superiorfrontal_thickavg,0.224 (0.3),4.70e-01,8.74e-01,No,0.067 (0.151),6.64e-01,7.65e-01,No,14,0.087 (0.045),5.65e-02,4.84e-01,No,-0.067 (0.019) *,5.42e-04,3.68e-02,Yes,486,-0.04 (0.056),4.69e-01,8.84e-01,No,-0.049 (0.018),6.65e-03,9.04e-02,No,323
cortical_thickness,CTQ_Abuse,female,L_superiorparietal_thickavg,0.252 (0.284),3.93e-01,8.74e-01,No,-0.127 (0.143),3.93e-01,5.46e-01,No,14,-0.027 (0.046),5.51e-01,9.15e-01,No,0.034 (0.02),7.94e-02,4.49e-01,No,486,0.02 (0.056),7.17e-01,8.90e-01,No,-0.022 (0.018),2.31e-01,6.29e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_superiortemporal_thickavg,0.117 (0.278),6.81e-01,9.08e-01,No,0.223 (0.14),1.39e-01,2.86e-01,No,14,0.051 (0.046),2.65e-01,5.82e-01,No,0.028 (0.02),1.46e-01,5.51e-01,No,486,0.042 (0.056),4.55e-01,8.84e-01,No,-0.0 (0.018),9.96e-01,9.96e-01,No,323
cortical_thickness,CTQ_Abuse,female,L_supramargil_thickavg,-0.289 (0.284),3.30e-01,8.74e-01,No,-0.168 (0.142),2.63e-01,4.16e-01,No,14,-0.068 (0.046),1.40e-01,5.27e-01,No,-0.013 (0.02),5.02e-01,7.50e-01,No,486,-0.042 (0.056),4.57e-01,8.84e-01,No,-0.02 (0.018),2.77e-01,6.44e-01,No,323
