t_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_bankssts_thickavg,0.092 (0.079),2.45e-01,6.68e-01,No,-0.521 (0.171) *,2.74e-03,1.17e-02,Yes,171,-0.036 (0.033),2.84e-01,4.02e-01,No,-0.049 (0.078),5.30e-01,5.94e-01,No,1020,-0.0 (0.038),9.93e-01,9.93e-01,No,-0.048 (0.081),5.50e-01,6.13e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_caudalanteriorcingulate_thickavg,0.072 (0.074),3.30e-01,7.02e-01,No,0.828 (0.16) *,6.82e-07,1.54e-05,Yes,171,-0.036 (0.033),2.79e-01,4.02e-01,No,0.339 (0.077) *,1.18e-05,1.41e-04,Yes,1020,-0.005 (0.038),8.90e-01,9.61e-01,No,0.185 (0.081) *,2.16e-02,3.67e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,L_caudalmiddlefrontal_thickavg,0.029 (0.081),7.17e-01,9.90e-01,No,-0.289 (0.175),9.94e-02,1.47e-01,No,171,0.06 (0.033),7.08e-02,2.05e-01,No,-0.043 (0.078),5.79e-01,6.33e-01,No,1020,0.024 (0.038),5.37e-01,9.32e-01,No,-0.196 (0.08) *,1.54e-02,2.75e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,L_cuneus_thickavg,0.063 (0.081),4.42e-01,8.12e-01,No,0.11 (0.175),5.31e-01,6.02e-01,No,171,0.009 (0.033),7.89e-01,8.13e-01,No,-0.154 (0.078),4.75e-02,8.50e-02,No,1020,0.05 (0.038),1.85e-01,8.82e-01,No,-0.408 (0.079) *,3.65e-07,1.24e-05,Yes,736
cortical_thickness,CTQ_Abuse,female,L_entorhil_thickavg,0.145 (0.081),7.30e-02,6.68e-01,No,0.009 (0.174),9.57e-01,9.64e-01,No,171,-0.083 (0.033),1.24e-02,7.94e-02,No,0.221 (0.077) *,4.26e-03,1.32e-02,Yes,1020,0.021 (0.038),5.89e-01,9.32e-01,No,0.295 (0.08) *,2.45e-04,9.26e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,L_fusiform_thickavg,0.022 (0.081),7.84e-01,9.90e-01,No,0.104 (0.176),5.55e-01,6.12e-01,No,171,-0.03 (0.033),3.72e-01,5.04e-01,No,0.133 (0.078),8.77e-02,1.33e-01,No,1020,-0.009 (0.038),8.20e-01,9.53e-01,No,0.266 (0.08) *,9.40e-04,2.57e-03,Yes,736
cortical_thickness,CTQ_Abuse,female,L_inferiorparietal_thickavg,0.033 (0.081),6.88e-01,9.90e-01,No,-0.279 (0.175),1.12e-01,1.63e-01,No,171,-0.132 (0.033) *,5.99e-05,2.03e-03,Yes,0.149 (0.077),5.34e-02,9.31e-02,No,1020,-0.037 (0.038),3.39e-01,8.82e-01,No,0.106 (0.081),1.87e-01,2.28e-01,No,736
cortical_thickness,CTQ_Abuse,female,L_inferiortemporal_thickavg,-0.114 (0.08),1.58e-01,6.68e-01,No,0.384 (0.173),2.80e-02,5.76e-02,No,171,-0.057 (0.033),8.17e-02,2.05e-01,No,0.218 (0.077) *,4.92e-03,1.39e-02,Yes,1020,-0.011 (0.038),7.69e-01,9.53e-01,No,0.303 (0.08) *,1.63e-04,6.94e-04,Yes,736
cortical_thickness,CTQ_Abuse,female,L_isthmuscingulate_thickavg,0.085 (0.079),2.85e-01,7.02e-01,No,0.438 (0.171) *,1.11e-02,2.91e-02,Yes,171,-0.076 (0.033),2.06e-02,1.03e-01,No,0.41 (0.077) *,1.08e-07,7.38e-06,Yes,1020,-0.002 (0.038),9.57e-01,9.71e-01,No,0.21 (0.08) *,9.08e-03,1.76e-02,Yes,736
cortical_thickness,CTQ_Abuse,female,L_lateraloccipital_thickavg,-0.012 (0.08),8.79e-01,9.97e-01,No,0.37 (0.174),3.45e-02,6.70e-02,No,171,-0.062 (0.033),5.84e-02,1.89e-01,No,0.287 (0.077) *,2.10e-04,1.03e-03,Yes,1020,-0.006 (0.038),8.77e-01,9.61e-01,No,0.178 (0.081) *,2.77e-02,4.59e-02,Yes,736
