t_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_bankssts_thickavg,0.062 (0.101),5.40e-01,8.74e-01,No,0.308 (0.298),3.04e-01,8.15e-01,No,136,0.079 (0.044),7.50e-02,4.25e-01,No,-0.178 (0.123),1.46e-01,3.42e-01,No,919,0.011 (0.054),8.40e-01,9.39e-01,No,0.076 (0.131),5.63e-01,7.81e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_caudalanteriorcingulate_thickavg,0.024 (0.101),8.17e-01,9.55e-01,No,-0.417 (0.299),1.65e-01,8.15e-01,No,136,-0.067 (0.044),1.23e-01,4.54e-01,No,-0.384 (0.121) *,1.49e-03,1.45e-02,Yes,919,-0.056 (0.052),2.75e-01,6.68e-01,No,-0.563 (0.127) *,1.03e-05,2.99e-04,Yes,609
cortical_thickness,CTQ_Abuse,female,L_caudalmiddlefrontal_thickavg,-0.023 (0.102),8.21e-01,9.55e-01,No,0.097 (0.301),7.47e-01,9.27e-01,No,136,0.037 (0.045),4.12e-01,6.30e-01,No,-0.048 (0.123),6.94e-01,7.86e-01,No,919,0.059 (0.053),2.65e-01,6.68e-01,No,-0.289 (0.131),2.77e-02,1.17e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_cuneus_thickavg,0.03 (0.1),7.69e-01,9.50e-01,No,0.485 (0.296),1.04e-01,7.07e-01,No,136,0.035 (0.045),4.38e-01,6.30e-01,No,-0.014 (0.123),9.12e-01,9.26e-01,No,919,-0.08 (0.053),1.33e-01,5.66e-01,No,0.027 (0.131),8.39e-01,9.58e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_entorhil_thickavg,0.098 (0.102),3.37e-01,7.99e-01,No,-0.056 (0.3),8.53e-01,9.27e-01,No,136,-0.064 (0.044),1.50e-01,4.54e-01,No,-0.144 (0.122),2.37e-01,4.17e-01,No,919,-0.008 (0.054),8.76e-01,9.39e-01,No,0.004 (0.131),9.78e-01,9.78e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_fusiform_thickavg,0.081 (0.102),4.29e-01,8.18e-01,No,-0.079 (0.301),7.93e-01,9.27e-01,No,136,-0.029 (0.045),5.13e-01,6.63e-01,No,0.084 (0.123),4.93e-01,6.72e-01,No,919,0.055 (0.053),3.00e-01,7.03e-01,No,0.226 (0.13),8.38e-02,2.33e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_inferiorparietal_thickavg,-0.079 (0.101),4.33e-01,8.18e-01,No,-0.299 (0.298),3.17e-01,8.15e-01,No,136,-0.128 (0.044),4.03e-03,1.52e-01,No,0.17 (0.122),1.65e-01,3.73e-01,No,919,-0.019 (0.053),7.24e-01,9.39e-01,No,-0.164 (0.131),2.12e-01,4.39e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_inferiortemporal_thickavg,-0.054 (0.102),5.98e-01,8.96e-01,No,0.312 (0.3),3.01e-01,8.15e-01,No,136,-0.034 (0.044),4.44e-01,6.30e-01,No,0.158 (0.123),1.99e-01,3.87e-01,No,919,0.142 (0.053),7.13e-03,2.21e-01,No,0.167 (0.129),1.97e-01,4.32e-01,No,609
cortical_thickness,CTQ_Abuse,female,L_isthmuscingulate_thickavg,-0.045 (0.101),6.59e-01,8.96e-01,No,-0.333 (0.298),2.67e-01,8.15e-01,No,136,-0.097 (0.044),2.75e-02,2.34e-01,No,-0.255 (0.121),3.56e-02,1.47e-01,No,919,-0.037 (0.052),4.70e-01,7.83e-01,No,-0.561 (0.127) *,1.21e-05,2.99e-04,Yes,609
cortical_thickness,CTQ_Abuse,female,L_lateraloccipital_thickavg,-0.117 (0.102),2.50e-01,7.99e-01,No,0.032 (0.3),9.14e-01,9.28e-01,No,136,-0.076 (0.044),8.50e-02,4.44e-01,No,-0.165 (0.122),1.76e-01,3.73e-01,No,919,-0.066 (0.053),2.10e-01,6.49e-01,No,-0.248 (0.13),5.71e-02,1.94e-01,No,609
