phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Ped,p_value_Ped,q_value_Ped,Significant_Ped,Sample_Size_Ped,Effect_Size_YA,p_value_YA,q_value_YA,Significant_YA,Sample_Size_YA,Effect_Size_OA,p_value_OA,q_value_OA,Significant_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_bankssts_thickavg,0.058 (0.073),4.29E-01,9.31E-01,No,189,0.003 (0.029),9.24E-01,9.52E-01,No,1163,0.018 (0.034),5.90E-01,7.56E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_caudalanteriorcingulate_thickavg,0.082 (0.073),2.60E-01,8.67E-01,No,189,-0.116 (0.029) *,7.59E-05,2.20E-03,Yes,1163,-0.132 (0.034) *,9.95E-05,3.38E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_caudalmiddlefrontal_thickavg,0.002 (0.073),9.82E-01,9.82E-01,No,189,0.025 (0.029),3.86E-01,6.10E-01,No,1163,-0.008 (0.034),8.14E-01,8.73E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_cuneus_thickavg,0.089 (0.073),2.24E-01,8.67E-01,No,189,0.006 (0.029),8.42E-01,9.46E-01,No,1163,-0.046 (0.034),1.77E-01,3.53E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_entorhil_thickavg,0.142 (0.072),5.17E-02,7.41E-01,No,189,-0.078 (0.029),8.17E-03,5.39E-02,No,1163,0.004 (0.034),9.02E-01,9.30E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_fusiform_thickavg,0.026 (0.073),7.27E-01,9.78E-01,No,189,0.005 (0.029),8.56E-01,9.46E-01,No,1163,0.053 (0.034),1.19E-01,2.92E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_inferiorparietal_thickavg,-0.047 (0.073),5.20E-01,9.31E-01,No,189,-0.095 (0.029) *,1.15E-03,1.30E-02,Yes,1163,-0.075 (0.034),2.83E-02,1.14E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_inferiortemporal_thickavg,-0.025 (0.073),7.33E-01,9.78E-01,No,189,0.005 (0.029),8.69E-01,9.46E-01,No,1163,0.098 (0.034) *,3.99E-03,2.71E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,L_isthmuscingulate_thickavg,0.076 (0.073),3.01E-01,8.67E-01,No,189,-0.103 (0.029) *,4.26E-04,7.24E-03,Yes,1163,-0.127 (0.034) *,1.81E-04,4.10E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_lateraloccipital_thickavg,-0.004 (0.073),9.55E-01,9.82E-01,No,189,-0.076 (0.029),9.51E-03,5.39E-02,No,1163,-0.108 (0.034) *,1.53E-03,1.94E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,L_lateralorbitofrontal_thickavg,0.076 (0.073),3.01E-01,8.67E-01,No,189,-0.017 (0.029),5.73E-01,7.95E-01,No,1163,0.001 (0.034),9.67E-01,9.67E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_lingual_thickavg,0.047 (0.073),5.18E-01,9.31E-01,No,189,-0.004 (0.029),8.96E-01,9.46E-01,No,1163,-0.099 (0.034) *,3.61E-03,2.71E-02,Yes,864
cortical_thickness,CTQ_Abuse,female,L_medialorbitofrontal_thickavg,0.128 (0.073),7.92E-02,7.41E-01,No,189,0.057 (0.029),5.39E-02,1.93E-01,No,1163,0.107 (0.034) *,1.68E-03,1.94E-02,Yes,864
