phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Ped,p_value_Ped,q_value_Ped,Significant_Ped,Sample_Size_Ped,Effect_Size_YA,p_value_YA,q_value_YA,Significant_YA,Sample_Size_YA,Effect_Size_OA,p_value_OA,q_value_OA,Significant_OA,Sample_Size_OA,Beta_Ped,Beta_YA,Beta_OA,Sex_Comparison_p,Stronger_Sex,Age_Comparison_p,Stronger_Age,Sex_Comparison_p_YA,Stronger_Sex_YA,Sex_Comparison_p_OA,Stronger_Sex_OA
cortical_thickness,CTQ_Abuse,female,L_bankssts_thickavg,0.058 (0.073),0.429,0.931,No,189,0.003 (0.029),0.924,0.952,No,1163,0.018 (0.034),0.59,0.756,No,864,0.058,0.003,0.018,,,0.7387575468444152,OA,0.1603043758532814,male,0.30523235177591324,male
cortical_thickness,CTQ_Abuse,female,L_caudalanteriorcingulate_thickavg,0.082 (0.073),0.26,0.867,No,189,-0.116 (0.029) *,7.59e-05,0.0022,Yes,1163,-0.132 (0.034) *,9.95e-05,0.00338,Yes,864,0.082,-0.116,-0.132,,,0.7179131142453128,OA,0.14563416217395142,female,0.083905435,female
cortical_thickness,CTQ_Abuse,female,L_caudalmiddlefrontal_thickavg,0.002 (0.073),0.982,0.982,No,189,0.025 (0.029),0.386,0.61,No,1163,-0.008 (0.034),0.814,0.873,No,864,0.002,0.025,-0.008,,,0.46311754650400516,YA,0.2511345396891218,male,0.46697578818331165,male
cortical_thickness,CTQ_Abuse,female,L_cuneus_thickavg,0.089 (0.073),0.224,0.867,No,189,0.006 (0.029),0.842,0.946,No,1163,-0.046 (0.034),0.177,0.353,No,864,0.089,0.006,-0.046,,,0.2473929251039142,OA,0.4191067351857245,male,0.7229278768366145,female
cortical_thickness,CTQ_Abuse,female,L_entorhil_thickavg,0.142 (0.072),0.0517,0.741,No,189,-0.078 (0.029),0.00817,0.0539,No,1163,0.004 (0.034),0.902,0.93,No,864,0.142,-0.078,0.004,,,0.067786535,YA,0.2866289615664823,female,0.9257611671725341,male
cortical_thickness,CTQ_Abuse,female,L_fusiform_thickavg,0.026 (0.073),0.727,0.978,No,189,0.005 (0.029),0.856,0.946,No,1163,0.053 (0.034),0.119,0.292,No,864,0.026,0.005,0.053,,,0.28544668915362026,OA,0.11023638068107844,male,0.4312237194154802,male
cortical_thickness,CTQ_Abuse,female,L_inferiorparietal_thickavg,-0.047 (0.073),0.52,0.931,No,189,-0.095 (0.029) *,0.00115,0.013,Yes,1163,-0.075 (0.034),0.0283,0.114,No,864,-0.047,-0.095,-0.075,,,0.6542547528783476,YA,0.045146994970636234,female,0.9850492926103547,female
cortical_thickness,CTQ_Abuse,female,L_inferiortemporal_thickavg,-0.025 (0.073),0.733,0.978,No,189,0.005 (0.029),0.869,0.946,No,1163,0.098 (0.034) *,0.00399,0.0271,Yes,864,-0.025,0.005,0.098,,,0.038038303,OA,0.8650202047371729,male,0.6933080443685817,female
cortical_thickness,CTQ_Abuse,female,L_isthmuscingulate_thickavg,0.076 (0.073),0.301,0.867,No,189,-0.103 (0.029) *,0.000426,0.00724,Yes,1163,-0.127 (0.034) *,0.000181,0.0041,Yes,864,0.076,-0.103,-0.127,,,0.5887088792634187,OA,0.5608442293488207,male,0.039143961618154366,female
cortical_thickness,CTQ_Abuse,female,L_lateraloccipital_thickavg,-0.004 (0.073),0.955,0.982,No,189,-0.076 (0.029),0.00951,0.0539,No,1163,-0.108 (0.034) *,0.00153,0.0194,Yes,864,-0.004,-0.076,-0.108,,,0.47305987209447653,OA,0.41517254131895687,male,0.43025197670614634,female
cortical_thickness,CTQ_Abuse,female,L_lateralorbitofrontal_thickavg,0.076 (0.073),0.301,0.867,No,189,-0.017 (0.029),0.573,0.795,No,1163,0.001 (0.034),0.967,0.967,No,864,0.076,-0.017,0.001,,,0.6890211858757942,YA,0.000299276,male,0.7513795639667675,male
cortical_thickness,CTQ_Abuse,female,L_lingual_thickavg,0.047 (0.073),0.518,0.931,No,189,-0.004 (0.029),0.896,0.946,No,1163,-0.099 (0.034) *,0.00361,0.0271,Yes,864,0.047,-0.004,-0.099,,,0.034080258,OA,0.5237849249013966,male,0.8952640171308492,female
cortical_thickness,CTQ_Abuse,female,L_medialorbitofrontal_thickavg,0.128 (0.073),0.0792,0.741,No,189,0.057 (0.029),0.0539,0.193,No,1163,0.107 (0.034) *,0.00168,0.0194,Yes,864,0.128,0.057,0.107,,,0.26301815912484083,OA,0.10769519087956914,male,1,equal
cortical_thickness,CTQ_Abuse,female,L_middletemporal_thickavg,-0.018 (0.073),0.801,0.978,No,189,-0.005 (0.029),0.87,0.946,No,1163,0.073 (0.034),0.0319,0.114,No,864,-0.018,-0.005,0.073,,,0.082411075,OA,0.3175113306984545,male,0.27051669894420316,female
cortical_thickness,CTQ_Abuse,female,L_parahippocampal_thickavg,-0.031 (0.073),0.671,0.978,No,189,-0.035 (0.029),0.233,0.416,No,1163,-0.051 (0.034),0.136,0.302,No,864,-0.031,-0.035,-0.051,,,0.7215761723088607,OA,0.013561087807525851,male,0.765154383,female
