phenotype_names,CTQ_Term,Sex,Region,Effect_Size_Main_Ped,P_Main_Ped,Q_Main_Ped,Significant_Main_Ped,Effect_Size_Cov_Ped,P_Cov_Ped,Q_Cov_Ped,Significant_Cov_Ped,Sample_Size_Ped,Effect_Size_Main_YA,P_Main_YA,Q_Main_YA,Significant_Main_YA,Effect_Size_Cov_YA,P_Cov_YA,Q_Cov_YA,Significant_Cov_YA,Sample_Size_YA,Effect_Size_Main_OA,P_Main_OA,Q_Main_OA,Significant_Main_OA,Effect_Size_Cov_OA,P_Cov_OA,Q_Cov_OA,Significant_Cov_OA,Sample_Size_OA
cortical_thickness,CTQ_Abuse,female,L_bankssts_thickavg,0.127 (0.079),1.09E-01,8.73E-01,No,-0.357 (0.163),2.97E-02,8.09E-02,No,189,0.022 (0.034),5.17E-01,5.92E-01,No,-0.083 (0.071),2.45E-01,4.13E-01,No,1163,0.023 (0.038),5.48E-01,7.92E-01,No,-0.02 (0.076),7.89E-01,8.06E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_caudalanteriorcingulate_thickavg,-0.034 (0.077),6.62E-01,9.80E-01,No,0.597 (0.159) *,2.30E-04,2.60E-03,Yes,189,-0.154 (0.033) *,3.90E-06,8.84E-05,Yes,0.169 (0.071),1.70E-02,6.44E-02,No,1163,-0.137 (0.037) *,2.56E-04,4.38E-03,Yes,0.024 (0.075),7.51E-01,7.86E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_caudalmiddlefrontal_thickavg,0.046 (0.08),5.67E-01,9.80E-01,No,-0.227 (0.164),1.70E-01,2.63E-01,No,189,0.031 (0.034),3.60E-01,5.15E-01,No,-0.023 (0.071),7.47E-01,8.02E-01,No,1163,0.039 (0.037),2.95E-01,5.57E-01,No,-0.224 (0.075) *,3.08E-03,9.00E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_cuneus_thickavg,0.048 (0.079),5.45E-01,9.80E-01,No,0.21 (0.164),2.01E-01,3.02E-01,No,189,0.031 (0.034),3.63E-01,5.15E-01,No,-0.108 (0.071),1.31E-01,2.61E-01,No,1163,0.017 (0.037),6.43E-01,7.97E-01,No,-0.3 (0.075) *,7.06E-05,4.80E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,L_entorhil_thickavg,0.144 (0.079),7.16E-02,8.34E-01,No,-0.009 (0.164),9.54E-01,9.75E-01,No,189,-0.103 (0.033) *,2.19E-03,1.49E-02,Yes,0.11 (0.071),1.22E-01,2.59E-01,No,1163,-0.048 (0.037),2.01E-01,4.27E-01,No,0.247 (0.075) *,1.11E-03,5.02E-03,Yes,864
cortical_thickness,CTQ_Abuse,female,L_fusiform_thickavg,0.006 (0.08),9.37E-01,9.80E-01,No,0.099 (0.165),5.49E-01,6.33E-01,No,189,-0.018 (0.034),5.91E-01,6.18E-01,No,0.102 (0.071),1.52E-01,2.95E-01,No,1163,-0.009 (0.037),8.10E-01,9.18E-01,No,0.294 (0.075) *,9.74E-05,6.02E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,L_inferiorparietal_thickavg,0.011 (0.079),8.86E-01,9.80E-01,No,-0.301 (0.164),6.74E-02,1.58E-01,No,189,-0.127 (0.033) *,1.58E-04,1.79E-03,Yes,0.137 (0.071),5.36E-02,1.52E-01,No,1163,-0.088 (0.038),1.88E-02,9.14E-02,No,0.065 (0.076),3.90E-01,5.00E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_inferiortemporal_thickavg,-0.096 (0.079),2.27E-01,8.73E-01,No,0.364 (0.163),2.67E-02,7.98E-02,No,189,-0.039 (0.033),2.50E-01,3.87E-01,No,0.189 (0.071) *,7.82E-03,3.32E-02,Yes,1163,0.033 (0.037),3.76E-01,6.24E-01,No,0.308 (0.075) *,4.19E-05,3.58E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,L_isthmuscingulate_thickavg,0.027 (0.079),7.39E-01,9.80E-01,No,0.253 (0.164),1.24E-01,2.23E-01,No,189,-0.156 (0.033) *,3.02E-06,8.84E-05,Yes,0.231 (0.071) *,1.09E-03,9.82E-03,Yes,1163,-0.137 (0.037) *,2.58E-04,4.38E-03,Yes,0.047 (0.075),5.30E-01,6.32E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_lateraloccipital_thickavg,-0.06 (0.079),4.54E-01,9.80E-01,No,0.285 (0.164),8.38E-02,1.73E-01,No,189,-0.111 (0.033) *,9.07E-04,8.45E-03,Yes,0.154 (0.071),3.04E-02,1.04E-01,No,1163,-0.131 (0.037) *,4.92E-04,6.69E-03,Yes,0.11 (0.075),1.45E-01,2.25E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_lateralorbitofrontal_thickavg,0.035 (0.079),6.60E-01,9.80E-01,No,0.209 (0.164),2.05E-01,3.02E-01,No,189,0.014 (0.034),6.81E-01,7.02E-01,No,-0.133 (0.071),6.28E-02,1.71E-01,No,1163,0.021 (0.038),5.85E-01,7.95E-01,No,-0.091 (0.076),2.32E-01,3.43E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_lingual_thickavg,0.054 (0.08),5.00E-01,9.80E-01,No,-0.035 (0.165),8.34E-01,9.01E-01,No,189,0.021 (0.034),5.33E-01,5.92E-01,No,-0.108 (0.071),1.29E-01,2.61E-01,No,1163,-0.034 (0.037),3.61E-01,6.15E-01,No,-0.308 (0.075) *,4.21E-05,3.58E-04,Yes,864
cortical_thickness,CTQ_Abuse,female,L_medialorbitofrontal_thickavg,0.009 (0.076),9.08E-01,9.80E-01,No,0.614 (0.158) *,1.38E-04,1.98E-03,Yes,189,0.076 (0.034),2.36E-02,7.50E-02,No,-0.085 (0.071),2.33E-01,4.13E-01,No,1163,0.115 (0.037) *,2.19E-03,2.29E-02,Yes,-0.039 (0.075),6.05E-01,6.64E-01,No,864
cortical_thickness,CTQ_Abuse,female,L_middletemporal_thickavg,0.009 (0.08),9.11E-01,9.80E-01,No,-0.141 (0.165),3.93E-01,4.83E-01,No,189,-0.06 (0.033),7.47E-02,1.59E-01,No,0.239 (0.071) *,7.60E-04,9.62E-03,Yes,1163,0.024 (0.037),5.24E-01,7.81E-01,No,0.233 (0.075) *,2.02E-03,6.85E-03,Yes,864
